"Country","Founded_Companies","Avg_Seed_Investor_Distance_km","Average_Number_of_Founders","Avg_Number_of_Seed_Investors","Avg_Number_of_Lead_Seed_Investors","Proportion_Regional_Investors","Proportion_Worldwide_Investors","Proportion_Industry_Specific_VC","Proportion_Regional_Lead_Investors","Proportion_Worldwide_Lead_Investors","Proportion_Industry_Lead_Investors","Proportion_Funding_Success","Proportion_Exit_Success","Average_Distance_to_Hub_km","Average_Number_of_Seed_Rounds","Average_Exits_of_Investors","Avg_Seed_Investors_Portfolio_Orgs","Number_of_Startup_Hubs"
"Austria",271,1469.4227836747,2.36199095022624,1.93357933579336,0.660516605166052,0.564575645756458,0.656826568265683,0.343173431734317,0.247232472324723,0.328413284132841,0.206642066420664,0.047970479704797,0.136531365313653,47.5399502947626,1.48339483394834,16.0044280442804,76.9790057830648,1
"Belgium",319,979.799539259625,2.07380073800738,1.61128526645768,0.54858934169279,0.80564263322884,0.35423197492163,0.313479623824451,0.316614420062696,0.19435736677116,0.134796238244514,0.0532915360501567,0.103448275862069,31.9231176469941,1.16300940438871,12.4862068965517,54.3449843260188,1
"Czech Republic",242,617.465457700269,1.94701986754967,1.6900826446281,0.822314049586777,0.731404958677686,0.446280991735537,0.194214876033058,0.450413223140496,0.235537190082645,0.0619834710743802,0.00826446280991736,0.103305785123967,28.4733871042917,1.40495867768595,6.27479338842975,47.9229666797849,0
"Denmark",511,1416.71862791208,2.28260869565218,1.75538160469667,0.798434442270059,0.526418786692759,0.669275929549902,0.219178082191781,0.299412915851272,0.379647749510763,0.11545988258317,0.0332681017612524,0.117416829745597,48.0322111628152,1.30332681017613,27.7170254403131,77.5941133610898,1
"Estonia",286,1838.83354143746,2.35593220338983,2.03846153846154,0.825174825174824,0.636363636363636,0.632867132867133,0.188811188811189,0.339160839160839,0.34965034965035,0.0979020979020979,0.020979020979021,0.041958041958042,17.1262850823447,1.53146853146853,25.5493006993007,184.857132640087,1
"Finland",522,1849.81365872064,2.34553775743707,1.81800766283525,0.747126436781608,0.540229885057471,0.662835249042146,0.222222222222222,0.296934865900383,0.348659003831418,0.103448275862069,0.0344827586206897,0.10727969348659,103.914726014343,1.35632183908046,16.4425287356322,82.2180118093911,1
"France",1982,1399.08513100826,2.12065573770492,1.715438950555,0.607971745711404,0.508577194752775,0.668516649848638,0.210393541876892,0.234611503531786,0.302724520686176,0.079212916246216,0.0665993945509586,0.12008072653885,114.193999681973,1.1765893037336,29.63087790111,83.1116365835085,1
"Germany",2729,1275.54093728096,2.38705357142857,2.03444485159398,0.742396482227925,0.484792964455845,0.785269329424698,0.245877610846464,0.227555881275192,0.397215097105167,0.112861854159033,0.0864785635764016,0.149505313301576,60.6514963406509,1.33382191278857,34.9574935873946,133.427723519814,3
"Greece",87,2786.4452724989,2.41095890410959,1.36781609195402,0.804597701149425,0.505747126436782,0.586206896551724,0.137931034482759,0.344827586206897,0.402298850574713,0.0689655172413793,0.0114942528735632,0.0804597701149425,1245.17625882237,1.25287356321839,13.2126436781609,84.3681171319103,0
"Hungary",376,383.652639329291,2.06880733944954,1.23936170212766,0.268617021276595,0.61968085106383,0.441489361702128,0.0212765957446809,0.143617021276596,0.0877659574468085,0.00797872340425532,0.00797872340425532,0.0372340425531915,241.360306842736,1.92553191489362,8.90239361702127,314.796147838568,0
