Country,Year,Sums
Austria,2007,62.3
Austria,2008,61.7
Austria,2009,74.6
Austria,2010,36.9
Austria,2011,97.7
Austria,2012,41.9
Austria,2013,63.6
Austria,2014,59.3
Austria,2015,117.3
Austria,2016,54.1
Austria,2017,98.7
Austria,2018,83.7
Austria,2019,68.8
Austria,2020,79.4
Austria,2021,700
Austria,2022,200
Baltics,2007,13.5
Baltics,2008,13.3
Baltics,2009,4.7
Baltics,2010,7.4
Baltics,2011,7.6
Baltics,2012,14.6
Baltics,2013,17
Baltics,2014,25.1
Baltics,2015,19.9
Baltics,2016,17
Baltics,2017,8.7
Baltics,2018,38.1
Baltics,2019,36.2
Baltics,2020,45.8
Baltics,2021,205.1
Baltics,2022,230.2
Belgium,2007,193.3
Belgium,2008,114.8
Belgium,2009,148.6
Belgium,2010,82.6
Belgium,2011,116.2
Belgium,2012,125.9
Belgium,2013,111.2
Belgium,2014,107.4
Belgium,2015,100
Belgium,2016,200
Belgium,2017,200
Belgium,2018,300
Belgium,2019,400
Belgium,2020,500
Belgium,2021,400
Belgium,2022,300
Czech Republic,2007,2.5
Czech Republic,2008,33.3
Czech Republic,2009,0.2
Czech Republic,2010,13.1
Czech Republic,2011,3.5
Czech Republic,2012,5.2
Czech Republic,2013,4.5
Czech Republic,2014,7.4
Czech Republic,2015,4.9
Czech Republic,2016,7.9
Czech Republic,2017,6.2
Czech Republic,2018,12.6
Czech Republic,2019,29.1
Czech Republic,2020,17.7
Czech Republic,2021,111.2
Czech Republic,2022,72.9
Denmark,2007,165.1
Denmark,2008,176.3
Denmark,2009,75.2
Denmark,2010,62.1
Denmark,2011,130.3
Denmark,2012,67.7
Denmark,2013,60.7
Denmark,2014,68
Denmark,2015,75
Denmark,2016,98.5
Denmark,2017,121.1
Denmark,2018,300
Denmark,2019,300
Denmark,2020,300
Denmark,2021,800
Denmark,2022,300
Finland,2007,133.6
Finland,2008,148.5
Finland,2009,92.8
Finland,2010,103.2
Finland,2011,87.3
Finland,2012,81.1
Finland,2013,119.4
Finland,2014,118.9
Finland,2015,109.4
Finland,2016,105.8
Finland,2017,200
Finland,2018,200
Finland,2019,300
Finland,2020,400
Finland,2021,400
Finland,2022,300
France,2007,685.8
France,2008,510.3
France,2009,403.9
France,2010,400
France,2011,400
France,2012,400
France,2013,500
France,2014,400
France,2015,500
France,2016,600
France,2017,900
France,2018,1200
France,2019,1600
France,2020,1400
France,2021,2600
France,2022,3100
Germany,2007,786.5
Germany,2008,1013.5
Germany,2009,700
Germany,2010,600
Germany,2011,700
