Organization/Person Name,Description,Organization/Person Name URL,Industry-Specific VC Binary
Techstars,Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,https://www.crunchbase.com/organization/techstars,0
500 Global,500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,https://www.crunchbase.com/organization/500-startups,0
SOSV,SOSV is a deep tech venture firm that invests from a startup's inception.,https://www.crunchbase.com/organization/sosv,1
New Enterprise Associates,New Enterprise Associates is a venture capital firm that focuses on investments in technology and healthcare startups.,https://www.crunchbase.com/organization/new-enterprise-associates,0
Bossa Invest,Bossa Invest manages investment portfolios and provides asset management services to clients in various sectors.,https://www.crunchbase.com/organization/bossanova-investimentos,0
Accel,Accel is an seed and growth-stage venture capital firm that helps a global community of entrepreneurs.,https://www.crunchbase.com/organization/accel,0
Sequoia Capital,"Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",https://www.crunchbase.com/organization/sequoia-capital,0
Plug and Play,Plug and Play is an innovation platform bringing together startups and large corporations.,https://www.crunchbase.com/organization/plug-and-play-ventures,0
Alumni Ventures,Alumni Ventures Group is an venture capital investment firm that manages fund families that invest in a portfolio of companies.,https://www.crunchbase.com/organization/alumni-ventures-group,0
Antler,Antler is a venture capital firm that focuses on early stage investments for startups.,https://www.crunchbase.com/organization/antler-be9c,0
Andreessen Horowitz,Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds.,https://www.crunchbase.com/organization/andreessen-horowitz,0
Intel Capital,"Intel Capital invests in innovative startups targeting cloud and AI infrastructure, cybersecurity, and other disruptive technologies.",https://www.crunchbase.com/organization/intel-capital,0
FJ Labs,FJ Labs is a stage-agnostic investment firm that focuses on marketplaces and consumer facing startups.,https://www.crunchbase.com/organization/fj-labs,1
Lightspeed Venture Partners,"Lightspeed Venture Partners is a venture capital firm that engages in consumer, enterprise, technology, and cleantech markets.",https://www.crunchbase.com/organization/lightspeed-venture-partners,0
Bessemer Venture Partners,"Bessemer Venture Partners is a venture capital firm that invests in enterprise, consumer, and healthcare early-to-late stage startups.",https://www.crunchbase.com/organization/bessemer-venture-partners,0
General Catalyst,General Catalyst collaborates with founders to support resilience and applied AI from seed to growth stages.,https://www.crunchbase.com/organization/general-catalyst-partners,0
Kleiner Perkins,"Kleiner Perkins is a venture capital firm that specializes in investing in early-stage, incubation, and growth companies.",https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers,0
