Company ID,organization_name,organization_name_url,founded_year,headquarters_country,latitude,longitude,number_of_founders,age,hub_binary,b2b_binary,total_seed_funding_m,number_seed_rounds,number_seed_investors,avg_seed_investor_distance,minimum_seed_vc_distance,avg_seed_investor_pairwise_distance,average_seed_investors_portfolio_organizations,avg_age_of_seed_investors,specific_vc_in_seed_binary,target_vc_in_seed_binary,hub_vc_in_seed_binary,accelerator_funding_binary,angel_group_funding_binary,micro_vc_funding_binary,corporate_vc_funding_binary,homecountry_investor_in_seed_binary,seed_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,success,exit_binary,funding_success,years_to_exit,last_equity_funding_type,number_lead_seed_investors,years_to_seed,regional_seed_investor_binary,regional_seed_investor_binary,regional_lead_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_seed_investor_binary,overregional_lead_seed_investor_binary,avg_exits_of_seed_investors,specific_lead_vc_in_seed_binary,target_lead_vc_in_seed_binary,accelerator_lead_funding_binary,angel_group_lead_funding_binary,micro_vc_lead_funding_binary,corporate_vc_lead_funding_binary,number_seed_investors_same_city,number_seed_lead_investors_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,seed_lead_investor_same_city,number_homecountry_investors,number_homecountry_lead_investors,homecountry_lead_investor,hub_lead_vc_in_seed_binary,vcs_within_50km,vcs_within_50km,top_university_count,top_university_count,top_university_ecosystem_binary,top_university_ecosystem_binary,founded_startups_in_environment,successful_startups_in_environment,share_successful_startups_in_environment,share_successful_startups_in_environment,distance_to_hub,minimum_seed_vc_distance_non_lead,avg_seed_vc_distance_non_lead,maximum_seed_vc_distance_non_lead,minimum_lead_seed_vc_distance,avg_lead_seed_vc_distance,maximum_lead_seed_vc_distance,min_seed_investor_pairwise_distance,max_seed_investor_pairwise_distance,gdp_growth_founding_year,investment_volume_first_seed_year,exit_date,max_seed_investor_distance,seed_investors_all_same_country,seed_investors_all_same_country_as_startup,seed_investors_all_same_city,earliest_seed_round_date,latest_seed_round_date,european_investor,all_european_investor,global_investor,all_global_investor,us_investor,all_us_investor,dach_investor,all_dach_investor
17335,Dopplr,https://www.crunchbase.com/organization/dopplr,2007,United Kingdom,51.4893335,-0.1440551,5.0,0,True,False,0.0,2,6,3811.9942431691234,0.0,5171.138723444427,77.5,2.0,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,2.0,Angel,,0,True,True,False,True,True,True,True,False,24.8,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,False,1,0,False,False,1939,1939,5,5,True,True,24,8,0.3333333333333333,0.3333333333333333,4.639509600861782,0.0,3811.9942431691234,8616.713337577476,0.0,0.0,0.0,637.5234934784263,9317.949245001228,3.16,7.313886831633462,2009-09-23,8616.713337577476,False,False,False,2007-01-01,2007-09-01,True,False,True,True,True,False,False,False
10067,SCHAD,https://www.crunchbase.com/organization/schad,2007,Germany,51.1776603,14.4248884,1.0,1,False,True,0.0,2,2,515.0206955303776,515.0206955303776,0.0,662.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,,Series A,,1,False,False,False,True,True,True,True,False,125.5,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,2,0,False,False,0,0,0,0,False,False,0,0,0.0,0.0,124.328743435643,515.0206955303776,515.0206955303776,515.0206955303776,0.0,0.0,0.0,0.0,0.0,3.16,6.922151159265869,,515.0206955303776,True,True,False,2008-09-18,2008-09-18,True,True,False,False,False,False,True,True
2060,Talentsoft,https://www.crunchbase.com/organization/talentsoft,2007,France,48.8356649,2.240206,3.0,2,True,True,2.34332,1,1,8.161260222663202,8.161260222663202,0.0,197.0,12.0,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,14.0,Series D,1.0,2,True,True,True,False,False,False,False,False,69.0,False,True,False,False,False,False,1,1,True,True,True,True,True,True,True,True,1,1,True,True,841,841,4,4,True,True,9,4,0.4444444444444444,0.4444444444444444,8.234040799227781,0.0,0.0,0.0,8.161260222663202,8.161260222663202,8.161260222663202,0.0,0.0,3.16,6.003640123038116,2021-04-12,8.161260222663202,True,True,True,2009-10-05,2009-10-05,True,True,False,False,False,False,False,False
5960,Cleveron,https://www.crunchbase.com/organization/cleveron,2007,Estonia,58.36454,25.5878074,2.0,1,False,True,0.0,1,1,128.71373178666906,128.71373178666906,0.0,37.0,0.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,Seed,1.0,1,False,False,False,True,True,True,True,True,8.0,False,True,False,False,False,False,0,0,False,False,False,False,False,False,False,False,1,1,True,True,1,1,0,0,False,False,0,0,0.0,0.0,128.71373178666892,0.0,0.0,0.0,128.71373178666906,128.71373178666906,128.71373178666906,0.0,0.0,3.16,2.6602595372658615,,128.71373178666906,True,True,False,2008-05-27,2008-05-27,True,True,False,False,False,False,False,False
6903,flowww,https://www.crunchbase.com/organization/flowww-system,2007,Spain,40.4237276,-3.6899043,2.0,10,True,True,0.0,1,1,301.7089752238981,301.7089752238981,0.0,43.0,4.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,Venture - Series Unknown,,10,False,False,False,True,True,True,True,False,1.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,1,0,False,False,248,248,2,2,True,True,4,0,0.0,0.0,1.3966316113990815,301.7089752238981,301.7089752238981,301.7089752238981,0.0,0.0,0.0,0.0,0.0,3.16,6.398594934535208,,301.7089752238981,True,True,False,2017-06-15,2017-06-15,True,True,False,False,False,False,False,False
7010,SANIFIT,https://www.crunchbase.com/organization/sanifit,2007,Spain,39.5695818,2.6500745,1.0,3,False,True,0.34623,1,1,205.5267754339983,205.5267754339983,0.0,138.0,6.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,14.0,Series D,,3,False,False,False,True,True,True,True,False,45.0,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,1,0,False,False,13,13,0,0,False,False,0,0,0.0,0.0,205.52677543399773,205.5267754339983,205.5267754339983,205.5267754339983,0.0,0.0,0.0,0.0,0.0,3.16,5.540086381985411,2021-11-22,205.5267754339983,True,True,False,2010-06-07,2010-06-07,True,True,False,False,False,False,False,False
7026,iContainers,https://www.crunchbase.com/organization/icontainers,2007,Spain,41.3825802,2.177073,2.0,1,True,True,1.632708,2,5,715.4611477531747,504.3657437075568,672.109420601779,21.333333333333332,2.7,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,Series A,,1,False,False,False,True,True,True,True,False,4.5,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,4,0,False,False,256,256,2,2,True,True,5,2,0.4,0.4,0.0,504.3657437075568,715.4611477531747,1137.6519558444104,0.0,0.0,0.0,0.0,1260.2051636283356,3.16,5.573294066502264,,1137.6519558444104,False,False,False,2008-06-18,2015-04-23,True,True,False,False,False,False,False,False
7075,Spacewell Energy (Dexma),https://www.crunchbase.com/organization/dexma,2007,Spain,41.3825802,2.177073,3.0,4,True,True,1.371296,2,4,168.1219145691856,0.0,336.2438291383712,15.4,14.0,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,13.0,Venture - Series Unknown,2.0,4,True,True,True,True,True,True,True,True,2.4,False,True,False,False,True,False,2,1,True,True,True,True,True,True,True,True,3,2,True,True,256,256,2,2,True,True,5,1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,252.1828718537784,504.3657437075568,0.0,504.3657437075568,3.16,5.743644008081332,2020-12-10,504.3657437075568,True,True,False,2011-10-25,2014-06-01,True,True,False,False,False,False,False,False
7304,Minube,https://www.crunchbase.com/organization/minube,2007,Spain,40.4237276,-3.6899043,2.0,6,True,False,1.377054,1,2,252.1828718537784,0.0,504.3657437075568,37.5,1.0,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,Series A,,6,True,True,False,True,True,True,True,False,10.0,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,False,2,0,False,False,248,248,2,2,True,True,4,0,0.0,0.0,1.3966316113990815,0.0,252.1828718537784,504.3657437075568,0.0,0.0,0.0,504.3657437075568,504.3657437075568,3.16,5.303304908059076,,504.3657437075568,True,True,False,2013-12-17,2013-12-17,True,True,False,False,False,False,False,False
7309,Agile Content,https://www.crunchbase.com/organization/agilecontent,2007,Spain,43.2630018,-2.9350039,2.0,2,False,True,0.0,2,2,158.78768378449618,77.26047330641633,234.59489461970537,157.0,8.7,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,8.0,Post-IPO Equity,1.0,2,True,True,True,True,True,True,True,False,31.0,False,True,False,False,False,False,0,0,False,False,False,False,False,False,False,False,3,1,True,False,21,21,0,0,False,False,1,0,0.0,0.0,322.83023385084556,77.26047330641633,199.55128902353613,321.84210474065594,77.26047330641633,77.26047330641633,77.26047330641633,0.0,351.89234192955803,3.16,5.268373490174964,2015-11-19,321.84210474065594,True,True,False,2009-11-30,2016-09-26,True,True,False,False,False,False,False,False
