Investor ID,Organization/Person Name,Organization/Person Name URL,Longitude,Latitude,Location,Country,Accelerator,Angel Group,Micro VC,Corporate Venture Capital,Specific VC Binary,Local Investor,Hub Investor,Lead Investor,Target VC,Seed Investments Count,Seed Lead Investments Count,Unique Companies Count,Unique Industries Count,Local Investments Count,Avg Investment Distance (km),Hub Investments Count,Unique Countries Count,Fundraising Success Count,Successful Investments Count,CB Rank (Investor)
000001,Techstars,https://www.crunchbase.com/organization/techstars,-105.270545,40.0149856,"Boulder, Colorado, United States",United States,True,False,False,False,False,False,False,True,True,793.0,456.0,676.0,48.0,0.0,7779.656987274022,520,20.0,96,96,238.0
000002,SOSV,https://www.crunchbase.com/organization/sosv,-74.6597376,40.3496953,"Princeton, New Jersey, United States",United States,True,False,False,False,True,False,False,False,True,316.0,142.0,191.0,45.0,0.0,5803.51239677714,162,19.0,34,34,951.0
000003,Accel,https://www.crunchbase.com/organization/accel,-122.1598465,37.4443293,"Palo Alto, California, United States",United States,False,False,False,False,False,False,False,False,True,54.0,27.0,51.0,40.0,0.0,8911.169615450948,35,10.0,21,21,18.0
000004,Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,-122.036349,37.3688301,"Sunnyvale, California, United States",United States,True,False,False,False,False,False,False,False,True,247.0,23.0,216.0,46.0,0.0,9013.425959078722,151,15.0,44,44,23.0
000005,Antler,https://www.crunchbase.com/organization/antler-be9c,103.85007,1.28967,"Singapore, Central Region, Singapore",Singapore,False,False,False,False,False,False,False,False,True,427.0,201.0,364.0,45.0,0.0,10360.835994793955,238,12.0,8,8,33.0
000006,Intel Capital,https://www.crunchbase.com/organization/intel-capital,-121.955174,37.3541132,"Santa Clara, California, United States",United States,False,False,False,True,False,False,True,True,False,5.0,3.0,5.0,17.0,0.0,9329.161407620046,4,4.0,1,1,4336.0
000007,Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,-122.177992,37.4519671,"Menlo Park, California, United States",United States,False,False,False,False,False,False,False,True,True,15.0,8.0,11.0,17.0,0.0,8926.495831773189,10,4.0,7,7,53.0
000008,Newchip Accelerator,https://www.crunchbase.com/organization/newchip,-97.7436995,30.2711286,"Austin, Texas, United States",United States,True,False,False,False,False,False,False,False,False,122.0,1.0,122.0,45.0,0.0,8240.896449440173,68,20.0,1,1,6554.0
000009,FasterCapital,https://www.crunchbase.com/organization/fastercapital,55.1885387,25.0742823,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,True,False,True,False,False,False,False,True,False,58.0,43.0,57.0,40.0,0.0,4997.506284406449,24,16.0,0,0,2915.0
000010,Seedcamp,https://www.crunchbase.com/organization/seedcamp,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,True,False,True,False,False,False,True,False,False,377.0,66.0,298.0,47.0,233.0,305.87789928317073,300,18.0,113,113,1874.0
000011,Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,24.7453688,59.4372155,"Tallinn, Harjumaa, Estonia",Estonia,True,False,False,False,False,False,False,False,True,421.0,97.0,297.0,48.0,156.0,752.727324495508,234,20.0,23,23,828.0
000012,LAUNCH,https://www.crunchbase.com/organization/launch-co,-122.4193286,37.7792588,"San Francisco, California, United States",United States,True,True,False,False,False,False,False,False,True,8.0,3.0,7.0,17.0,0.0,8799.11852026894,4,5.0,0,0,358.0
000013,DCVC,https://www.crunchbase.com/organization/data-collective,-122.1598465,37.4443293,"Palo Alto, California, United States",United States,False,False,False,False,False,False,False,False,False,8.0,2.0,7.0,13.0,0.0,8735.897853151264,6,3.0,5,5,1577.0
000014,Speedinvest,https://www.crunchbase.com/organization/speedinvest,16.4221587,48.1857192,"Vienna, Wien, Austria",Austria,False,False,False,False,False,False,False,True,True,255.0,146.0,205.0,45.0,44.0,763.6348927916381,189,18.0,90,90,65.0
000015,Social Starts,https://www.crunchbase.com/organization/social-starts,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,True,False,False,False,False,False,False,15.0,0.0,13.0,21.0,0.0,8966.161165076903,8,7.0,5,5,17842.0
000016,Octopus Ventures,https://www.crunchbase.com/organization/octopus-ventures,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,True,True,True,97.0,65.0,91.0,44.0,78.0,127.03506893241781,77,6.0,35,35,137.0
000018,NFX,https://www.crunchbase.com/organization/nfxcapital,-122.4193286,37.7792588,"San Francisco, California, United States",United States,True,False,False,False,False,False,False,True,False,11.0,8.0,11.0,19.0,0.0,8800.66380208501,7,4.0,3,3,2206.0
000019,Dreamit Ventures,https://www.crunchbase.com/organization/dreamit-ventures,-75.1635262,39.9527237,"Philadelphia, Pennsylvania, United States",United States,False,False,False,False,False,False,False,False,False,6.0,0.0,6.0,13.0,0.0,5957.410952771887,3,5.0,2,2,11394.0
000020,ff Venture Capital,https://www.crunchbase.com/organization/ff-venture-capital,-74.0060152,40.7127281,"New York, New York, United States",United States,False,False,True,False,False,False,False,True,False,19.0,10.0,15.0,20.0,0.0,6263.748648738719,13,4.0,3,3,4639.0
000021,Everywhere Ventures,https://www.crunchbase.com/organization/everywhere-ventures,-74.0060152,40.7127281,"New York, New York, United States",United States,False,False,False,False,False,False,True,False,True,25.0,0.0,22.0,29.0,0.0,5766.906831618045,19,5.0,0,0,86.0
000022,Tenity,https://www.crunchbase.com/organization/tenity,8.5410422,47.3744489,"Zürich, Zurich, Switzerland",Switzerland,True,False,False,False,True,False,False,True,False,40.0,23.0,39.0,24.0,10.0,653.2719490133665,28,11.0,1,1,2586.0
000023,AME Cloud Ventures,https://www.crunchbase.com/organization/ame-cloud-ventures,-122.1598465,37.4443293,"Palo Alto, California, United States",United States,False,False,False,False,True,False,True,False,False,5.0,1.0,5.0,17.0,0.0,8775.314074730511,5,2.0,4,4,14961.0
000024,Bloomberg Beta,https://www.crunchbase.com/organization/bloomberg-beta,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,True,True,False,False,False,True,3.0,1.0,3.0,13.0,0.0,8935.892386800582,2,2.0,1,1,1212.0
000025,Point Nine,https://www.crunchbase.com/organization/point-nine-capital,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,False,False,False,90.0,44.0,79.0,42.0,25.0,599.1456195798872,65,13.0,48,48,3123.0
000026,DN Capital,https://www.crunchbase.com/organization/dn-capital,-122.177992,37.4519671,"Menlo Park, California, United States",United States,False,False,False,False,False,False,True,False,False,41.0,8.0,38.0,37.0,0.0,8921.933358425302,36,7.0,21,21,3401.0
000027,Elevate Ventures,https://www.crunchbase.com/organization/elevate-ventures,-86.1583502,39.7683331,"Indianapolis, Indiana, United States",United States,False,False,False,False,False,False,False,True,False,2.0,2.0,2.0,2.0,0.0,6991.7357755212615,1,2.0,0,0,2815.0
000028,b2venture,https://www.crunchbase.com/organization/btovpartners,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,True,False,False,71.0,31.0,59.0,38.0,25.0,438.65742329885273,61,7.0,28,28,3676.0
000029,EIT InnoEnergy,https://www.crunchbase.com/organization/kic-innoenergy,5.478633,51.4392648,"Eindhoven, Noord-Brabant, The Netherlands",The Netherlands,True,False,False,False,True,False,False,False,False,79.0,24.0,60.0,26.0,6.0,886.0343932902817,40,12.0,5,5,8866.0
000030,Cultivation Capital,https://www.crunchbase.com/organization/cultivation-capital,-90.1910154,38.6280278,"St Louis, Missouri, United States",United States,False,False,False,False,True,False,False,True,True,3.0,2.0,2.0,10.0,0.0,7858.360090020135,1,2.0,0,0,682.0
000031,Brinc,https://www.crunchbase.com/organization/brinc-io,114.1582784,22.2818286,"Central, Hong Kong Island, Hong Kong",Hong Kong,True,False,False,False,False,False,False,False,False,23.0,1.0,23.0,26.0,0.0,9247.691136549009,13,8.0,1,1,5159.0
000032,Cherry Ventures,https://www.crunchbase.com/organization/cherry-ventures,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,True,True,True,87.0,52.0,73.0,37.0,48.0,273.033358707163,69,7.0,37,37,165.0
000033,Atlantic Labs,https://www.crunchbase.com/organization/atlantic-labs,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,True,True,False,141.0,95.0,109.0,45.0,98.0,164.50334895777664,115,9.0,56,56,1676.0
000034,Orange DAO,https://www.crunchbase.com/organization/orange-fund,-122.4193286,37.7792588,"San Francisco, California, United States",United States,True,False,False,False,False,False,True,False,True,3.0,0.0,2.0,4.0,0.0,8942.490514723875,3,2.0,0,0,1105.0
000035,Target Global,https://www.crunchbase.com/organization/target-ventures,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,False,True,True,32.0,17.0,28.0,33.0,5.0,745.621736518133,23,6.0,15,15,986.0
000036,Industrifonden,https://www.crunchbase.com/organization/industrifonden,18.0710935,59.3251172,"Stockholm, Stockholms Lan, Sweden",Sweden,False,False,False,False,True,False,True,False,False,1.0,0.0,1.0,3.0,0.0,809.6040300285617,1,1.0,0,0,14660.0
000037,Heartcore Capital,https://www.crunchbase.com/organization/heartcore-capital,12.5700724,55.6867243,"Copenhagen, Hovedstaden, Denmark",Denmark,False,False,False,False,False,False,True,True,True,52.0,30.0,42.0,32.0,13.0,728.0880246534782,40,6.0,27,27,892.0
000038,Investible,https://www.crunchbase.com/organization/investible,151.2082848,-33.8698439,"Sydney, New South Wales, Australia",Australia,False,True,False,False,True,False,False,False,False,4.0,1.0,4.0,13.0,0.0,16605.68303528957,2,2.0,0,0,3933.0
000039,Blockchain Capital,https://www.crunchbase.com/organization/crypto-currency-partners,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,False,True,False,False,False,True,1.0,0.0,1.0,1.0,0.0,8953.058873364853,0,1.0,0,0,182.0
