orig_idx,Company ID,organization_name,organization_name_url,founded_year,headquarters_country,latitude,longitude,number_of_founders,age,hub_binary,b2b_binary,total_seed_funding_m,number_seed_rounds,number_seed_investors,avg_seed_investor_distance,minimum_seed_vc_distance,avg_seed_investor_pairwise_distance,average_seed_investors_portfolio_organizations,avg_age_of_seed_investors,specific_vc_in_seed_binary,target_vc_in_seed_binary,hub_vc_in_seed_binary,accelerator_funding_binary,angel_group_funding_binary,micro_vc_funding_binary,corporate_vc_funding_binary,homecountry_investor_in_seed_binary,seed_investor_same_city,seed_lead_investor_same_city,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,degree_global,betweenness_global,closeness_global,eigenvector_global,degree_homecountry,betweenness_homecountry,closeness_homecountry,eigenvector_homecountry,success,exit_binary,funding_success,years_to_exit,last_equity_funding_type,seed_investors_all_same_country,seed_investors_all_same_city,earliest_seed_round_date,latest_seed_round_date,global_pca_component,homecountry_pca_component,european_investor,all_european_investor,dach_investor,all_dach_investor,has_seed_funding,has_venture___series_unknown_funding,has_grant_funding,has_private_equity_funding,has_secondary_market_funding,has_series_a_funding,has_debt_financing_funding,has_series_b_funding,has_angel_funding,has_series_c_funding,has_series_d_funding,has_series_e_funding,has_series_f_funding,has_corporate_round_funding,has_equity_crowdfunding_funding,has_post_ipo_equity_funding,has_convertible_note_funding,has_non_equity_assistance_funding,has_pre_seed_funding,has_funding_round_funding,has_product_crowdfunding_funding,has_series_g_funding,has_series_h_funding,has_post_ipo_secondary_funding,has_post_ipo_debt_funding,has_initial_coin_offering_funding,log_years_to_exit,closeness_homecountry_zero,closeness_homecountry_positive,closeness_global_zero,closeness_global_positive
4,9318,eZelleron,https://www.crunchbase.com/organization/ezelleron,2007,Germany,51.0493286,13.7381437,1.0,2,False,True,7.066804,2,3,0.2982278091136018,0.0,321.55762291504556,66.0,6.3,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0047926802701328,9.356312019516122e-05,0.3120705224951648,0.0001838800199014,0.0282800185442744,0.0007586145225167,0.3282634315518429,0.0031830686120538,True,True,False,11.0,Series B,True,False,2009-12-10,2009-12-10,-0.281241300808397,0.09718687111274137,True,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,2.3978952727983707,0,0.3282634315518429,0,0.3120705224951648
6,9304,SCHAD,https://www.crunchbase.com/organization/schad,2007,Germany,51.1776603,14.4248884,1.0,1,False,True,0.0,1,1,0.5150206955303775,0.5150206955303775,0.0,659.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,0.0230193885701837,0.0,0.3460667996352872,0.0014589604635191,0.1353732035234121,0.0,0.4117189630058698,0.0576198790148201,False,False,False,,Series A,True,False,2008-09-18,2008-09-18,1.1872511974737516,3.6938882419294674,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.4117189630058698,0,0.3460667996352872
9,9341,Secusmart,https://www.crunchbase.com/organization/secusmart,2007,Germany,51.2254018,6.7763137,1.0,0,False,True,0.0,2,1,0.4468811651734495,0.0,0.0,108.0,2.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0019606419286907,7.771176866276165e-07,0.316643569675805,2.1886624840416302e-05,0.0088085303662494,0.0,0.3164283975264951,0.0002277112459619,True,True,False,7.0,Series A,True,False,2007-11-30,2007-11-30,-0.5557221036001856,-0.4983485229618712,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.9459101490553132,0,0.3164283975264951,0,0.316643569675805
10,9345,twidox,https://www.crunchbase.com/organization/twidox,2007,Germany,50.0820384,8.2416556,3.0,1,False,True,0.0,2,1,0.13145243950112317,0.13145243950112317,0.0,36.0,8.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,0.0007261636772928,0.0,0.2700065019255627,3.942045968347997e-06,0.0041724617524339,0.0,0.3074524723745132,0.0002062990984013,False,False,False,,Seed,True,False,2008-01-01,2008-01-01,-0.960558074851299,-0.625885736171621,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.3074524723745132,0,0.2700065019255627
17,9254,TunHub,https://www.crunchbase.com/organization/tunhub,2007,Germany,52.510885,13.3989367,1.0,9,True,True,0.0,2,1,6.385086074905369,6.385086074905369,0.0,362.0,5.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.00101662914821,0.0,0.2847542587184535,6.562636927035522e-06,0.0,0.0,0.0,9.312664934062519e-22,False,False,False,,Seed,True,False,2016-07-08,2016-07-08,-0.8399354541235293,-2.0440701450987837,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1,0.0,0,0.2847542587184535
27,9480,Pharetis,https://www.crunchbase.com/organization/pharetis,2007,Germany,51.3406321,12.3747329,2.0,1,False,True,0.0,2,1,0.0,0.0,0.0,99.0,0.0,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,0.0037760511219228,2.5914499077623036e-08,0.304375913446627,0.0001710301317165,0.0231803430690774,0.0,0.3260032376038506,0.0025914237882065,False,False,False,,Seed,True,True,2008-08-01,2008-08-01,-0.5054997122187642,-0.12716052092746818,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.3260032376038506,0,0.304375913446627
31,9509,Immunservice GmbH,https://www.crunchbase.com/organization/immunservice-gmbh,2007,Germany,53.550341,10.000654,1.0,1,True,True,0.0,1,1,0.37019550915568705,0.37019550915568705,0.0,659.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,0.0230193885701837,0.0,0.3460667996352872,0.0014589604635191,0.1353732035234121,0.0,0.4117189630058698,0.0576198790148201,False,False,False,,Series C,True,False,2008-01-21,2008-01-21,1.1872511974737516,3.6938882419294674,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.4117189630058698,0,0.3460667996352872
37,9467,stickapps,https://www.crunchbase.com/organization/toksta,2007,Germany,52.510885,13.3989367,1.0,1,True,True,0.0,2,1,0.9326577677712301,0.9326577677712301,0.0,422.0,1.0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.0169196136809236,0.0,0.362397173799743,0.0011254475697842,0.0092721372276309,0.0,0.3355486513121319,0.0004298914617582,True,True,False,4.0,Seed,True,False,2008-09-01,2008-09-01,0.8552304888484868,-0.4017406510913536,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3862943611198906,0,0.3355486513121319,0,0.362397173799743
40,9409,Protectimmun GmbH,https://www.crunchbase.com/organization/protectimmun-gmbh-2,2007,Germany,51.4818111,7.2196635,3.0,4,False,True,0.0,2,3,0.10701510381683449,0.04196129411597311,111.2624749145837,207.0,30.8,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.0254157287052501,0.0003812476129755,0.3513093849243572,0.0014806232547026,0.148817802503477,0.0038209471121026,0.4229459022885875,0.0584982132336235,False,False,False,,Seed,True,False,2011-05-04,2011-05-04,1.800241427709794,4.540297589629417,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.4229459022885875,0,0.3513093849243572
42,9417,Microstim,https://www.crunchbase.com/organization/microstim,2007,Germany,51.6453723,6.3805449,1.0,2,False,True,1.28,1,1,0.11301406726076203,0.11301406726076203,0.0,659.0,4.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.0230193885701837,0.0,0.3460667996352872,0.0014589604635191,0.1353732035234121,0.0,0.4117189630058698,0.0576198790148201,False,False,False,,Venture - Series Unknown,True,False,2009-02-05,2009-02-05,1.1872511974737516,3.6938882419294674,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,0.4117189630058698,0,0.3460667996352872
