company_id,organization_name,organization_name_url,headquarters_country,latitude,longitude,founded_year,number_of_founders,b2b_binary,hub_binary,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,age,number_seed_rounds,number_seed_investors,number_lead_seed_investors,total_seed_funding_m,earliest_seed_round_date,latest_seed_round_date,last_equity_funding_type,year_first_round,average_seed_investors_portfolio_organizations,regional_seed_investor_binary,regional_lead_seed_investor_binary,overregional_seed_investor_binary,overregional_lead_seed_investor_binary,avg_age_of_seed_investors,avg_exits_of_seed_investors,specific_vc_in_seed_binary,specific_lead_vc_in_seed_binary,target_vc_in_seed_binary,target_lead_vc_in_seed_binary,accelerator_funding_binary,accelerator_lead_funding_binary,angel_group_funding_binary,angel_group_lead_funding_binary,micro_vc_funding_binary,micro_vc_lead_funding_binary,corporate_vc_funding_binary,corporate_vc_lead_funding_binary,number_seed_investors_same_city,number_seed_lead_investors_same_city,seed_investor_same_city,seed_lead_investor_same_city,seed_investors_all_same_city,seed_investor_same_city_100,seed_lead_investor_same_city_100,seed_investor_same_city_70,seed_lead_investor_same_city_70,seed_investor_same_city_50,seed_lead_investor_same_city_50,seed_investor_same_city_40,seed_lead_investor_same_city_40,seed_investor_same_city_30,seed_lead_investor_same_city_30,seed_investor_same_city_20,seed_lead_investor_same_city_20,number_homecountry_investors,number_homecountry_lead_investors,homecountry_investor_in_seed_binary,homecountry_lead_investor,all_homecountry_investors_in_seed_binary,hub_vc_in_seed_binary,hub_lead_vc_in_seed_binary,global_investor,all_global_investor,us_investor,all_us_investor,dach_investor,all_dach_investor,european_investor,all_european_investor,vcs_within_50km,top_university_count,top_university_ecosystem_binary,founded_startups_in_environment,successful_startups_in_environment,share_successful_startups_in_environment,log_share_successful_startups_in_environment,distance_to_hub,avg_seed_investor_distance,minimum_seed_vc_distance,max_seed_investor_distance,minimum_seed_vc_distance_non_lead,avg_seed_vc_distance_non_lead,maximum_seed_vc_distance_non_lead,minimum_lead_seed_vc_distance,avg_lead_seed_vc_distance,maximum_lead_seed_vc_distance,avg_seed_investor_pairwise_distance,min_seed_investor_pairwise_distance,max_seed_investor_pairwise_distance,gdp_growth_founding_year,investment_volume_first_seed_year,exit_binary,funding_success,post_seed_funding,exit_funding_success,exit_round_success,success,exit_date,years_to_exit,number_seed_investors_same_city_20,number_seed_lead_investors_same_city_20,number_seed_investors_same_city_30,number_seed_lead_investors_same_city_30,number_seed_investors_same_city_40,number_seed_lead_investors_same_city_40,number_seed_investors_same_city_50,number_seed_lead_investors_same_city_50,number_seed_investors_same_city_70,number_seed_lead_investors_same_city_70,number_seed_investors_same_city_100,number_seed_lead_investors_same_city_100
16682,Sonik Sports,https://www.crunchbase.com/organization/sonik-sports,United Kingdom,53.3777294,-1.06213,2007,1.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,3,1,1,0.0,0.694767,2010-08-25,2010-08-25,Seed,2010,285.0,False,,True,,6.0,27.0,False,,True,,False,,False,,False,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,1,,True,,True,False,,False,False,False,False,False,False,True,True,9,0,False,0,0,0.0,0.0,0.07918744009431425,0.1804131327540637,0.1804131327540637,0.1804131327540637,0.1804131327540637,0.1804131327540637,0.1804131327540637,0.0,0.0,0.0,0.0,0.0,0.0,3.16,6.55250788703459,False,False,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0
6765,SEPMAG Technologies,https://www.crunchbase.com/organization/sepmag-technologies,Spain,41.3825802,2.177073,2007,1.0,True,True,False,False,True,False,True,True,False,False,False,False,False,False,2,1,1,0.0,1.146041,2009-02-25,2009-02-25,Seed,2009,162.0,True,,False,,1.0,30.0,False,,True,,False,,False,,False,,False,,1,0,True,,True,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,87,2,True,5,2,0.4,0.3364722366212129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,5.268373490174964,False,False,False,False,False,False,,,1,0,1,0,1,0,1,0,1,0,1,0
16464,ScotBio,https://www.crunchbase.com/organization/scottish-bioenergy,United Kingdom,55.8318251,-3.9281024,2007,1.0,True,False,False,False,True,False,True,True,False,False,False,False,False,False,11,1,1,1.0,9.146808,2018-11-26,2018-11-26,Seed,2018,1.0,False,False,True,True,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.0,True,True,True,True,True,False,False,False,False,False,False,True,True,19,0,False,0,0,0.0,0.0,0.28306456459828117,0.5432440481039298,0.5432440481039298,0.5432440481039298,0.0,0.0,0.0,0.5432440481039298,0.5432440481039298,0.5432440481039298,0.0,0.0,0.0,3.16,7.696667081526462,False,False,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0
16517,Graze,https://www.crunchbase.com/organization/graze,United Kingdom,51.4893335,-0.1440551,2008,1.0,False,True,False,False,True,True,True,False,False,False,False,False,True,False,0,1,2,0.0,0.0,2008-01-03,2008-01-03,Venture - Series Unknown,2008,192.5,True,,False,,0.0,45.5,True,,True,,False,,False,,True,,False,,2,0,True,,True,True,,True,,True,,True,,True,,True,,2,,True,,True,True,,False,False,False,False,False,False,True,True,643,5,True,48,18,0.375,0.3184537311185346,0.004639509600861782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,7.244941546337007,True,False,True,True,True,True,2019-02-05,11.0,2,0,2,0,2,0,2,0,2,0,2,0
16680,Rosa's Thai Cafe,https://www.crunchbase.com/organization/rosa-s-thai-cafe,United Kingdom,51.4893335,-0.1440551,2008,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,6,1,1,0.0,0.0,2014-06-20,2014-06-20,Seed,2014,48.0,True,,False,,10.0,7.0,False,,False,,False,,True,,False,,False,,1,0,True,,True,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,643,5,True,48,18,0.375,0.3184537311185346,0.004639509600861782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,6.803505257608338,True,False,False,True,True,True,2018-06-06,10.0,1,0,1,0,1,0,1,0,1,0,1,0
812,Planktonic AS,https://www.crunchbase.com/organization/planktonic-as,Norway,63.5,11.0,2008,2.0,True,False,False,False,True,False,True,True,False,True,False,False,False,False,11,1,1,1.0,1.051451,2019-01-18,2019-01-18,Seed,2019,87.0,True,True,False,False,11.0,23.0,False,False,False,False,False,False,False,False,False,False,False,False,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,1.0,True,True,True,False,False,False,False,False,False,False,False,True,True,6,0,False,2,2,1.0,0.6931471805599453,0.3990558334953436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,5.303304908059076,False,False,False,False,False,False,,,1,1,1,1,1,1,1,1,1,1,1,1
20124,Farman,https://www.crunchbase.com/organization/farman,Italy,41.275088,16.4162585,2008,3.0,False,False,False,False,False,True,True,True,False,False,False,False,False,False,5,1,1,0.0,0.540171,2013-11-18,2013-11-18,Seed,2013,14.0,False,,True,,7.0,0.0,False,,False,,True,,False,,False,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,1,,True,,True,True,,False,False,False,False,False,False,True,True,1,0,False,0,0,0.0,0.0,0.7466093042102622,0.7466093042102623,0.7466093042102623,0.7466093042102623,0.7466093042102623,0.7466093042102623,0.7466093042102623,0.0,0.0,0.0,0.0,0.0,0.0,0.64,4.370712874773608,False,False,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0
21675,Wellness Foundry,https://www.crunchbase.com/organization/wellness-foundry,Finland,60.1717794,24.9413548,2008,1.0,True,True,False,False,False,False,True,True,False,False,False,False,False,False,8,1,1,1.0,0.0,2016-11-29,2016-11-29,Seed,2016,6.0,True,True,False,False,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,1.0,True,True,True,True,True,False,False,False,False,False,False,True,True,47,2,True,9,1,0.1111111111111111,0.1053605156578263,0.0004833470476976217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,4.6709579265260945,False,False,False,False,False,False,,,1,1,1,1,1,1,1,1,1,1,1,1
4457,Lieferando,https://www.crunchbase.com/organization/lieferando,The Netherlands,52.3730796,4.8924534,2008,3.0,False,True,False,False,True,True,True,False,False,True,False,False,False,False,0,2,4,1.0,0.0,2008-12-01,2009-12-01,Venture - Series Unknown,2008,78.25,False,False,True,True,16.2,25.0,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,False,False,False,True,True,False,False,False,False,True,True,True,True,169,1,True,8,0,0.0,0.0,0.0,0.44222734979398015,0.2139751227370636,0.6140544602670924,0.2139751227370636,0.38495164630294265,0.5764433507366697,0.6140544602670924,0.6140544602670924,0.6140544602670924,0.40617371499357774,0.15260901775752392,0.668271913917405,0.64,5.559141984829935,True,False,True,True,True,True,2014-04-10,6.0,0,0,0,0,0,0,0,0,0,0,0,0
6804,Offerum,https://www.crunchbase.com/organization/offerum,Spain,41.3825802,2.177073,2009,3.0,False,True,False,False,False,True,True,False,False,False,True,False,False,False,2,1,2,0.0,2.0,2011-04-07,2011-04-07,Seed,2011,66.0,False,,True,,7.5,16.0,False,,False,,False,,False,,False,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,2,,True,,True,True,,False,False,False,False,False,False,True,True,87,2,True,18,2,0.1111111111111111,0.1053605156578263,0.0,0.5043657437075568,0.5043657437075568,0.5043657437075568,0.5043657437075568,0.5043657437075568,0.5043657437075568,0.0,0.0,0.0,0.0,0.0,0.0,-4.35,5.743644008081332,False,False,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0
