company_id,organization_name,organization_name_url,headquarters_country,latitude,longitude,founded_year,number_of_founders,b2b_binary,hub_binary,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,age,number_seed_rounds,number_seed_investors,mixed_syndicate,one_seed_investor_binary,pre_seed_binary,single_lead_investor,number_lead_seed_investors,lead_investor_in_seed,total_seed_funding_m,low_seed_financing_binary,earliest_seed_round_date,latest_seed_round_date,last_equity_funding_type,year_first_round,average_seed_investors_portfolio_organizations,regional_seed_investor_binary,regional_lead_seed_investor_binary,overregional_seed_investor_binary,overregional_lead_seed_investor_binary,avg_age_of_seed_investors,avg_exits_of_seed_investors,specific_vc_in_seed_binary,specific_lead_vc_in_seed_binary,target_vc_in_seed_binary,target_lead_vc_in_seed_binary,accelerator_funding_binary,accelerator_lead_funding_binary,angel_group_funding_binary,angel_group_lead_funding_binary,micro_vc_funding_binary,micro_vc_lead_funding_binary,corporate_vc_funding_binary,corporate_vc_lead_funding_binary,number_seed_investors_same_city,number_seed_lead_investors_same_city,seed_investor_same_city,seed_lead_investor_same_city,seed_investors_all_same_city,seed_investor_same_city_100,seed_lead_investor_same_city_100,seed_investor_same_city_70,seed_lead_investor_same_city_70,seed_investor_same_city_50,seed_lead_investor_same_city_50,seed_investor_same_city_40,seed_lead_investor_same_city_40,seed_investor_same_city_30,seed_lead_investor_same_city_30,seed_investor_same_city_20,seed_lead_investor_same_city_20,number_homecountry_investors,number_homecountry_lead_investors,homecountry_investor_in_seed_binary,homecountry_lead_investor,all_homecountry_investors_in_seed_binary,hub_vc_in_seed_binary,hub_lead_vc_in_seed_binary,global_investor,all_global_investor,us_investor,all_us_investor,dach_investor,all_dach_investor,european_investor,all_european_investor,vcs_within_50km,top_university_count,top_university_ecosystem_binary,founded_startups_in_environment,successful_startups_in_environment,share_successful_startups_in_environment,log_share_successful_startups_in_environment,distance_to_hub,avg_seed_investor_distance,minimum_seed_vc_distance,max_seed_investor_distance,minimum_seed_vc_distance_non_lead,avg_seed_vc_distance_non_lead,maximum_seed_vc_distance_non_lead,minimum_lead_seed_vc_distance,avg_lead_seed_vc_distance,maximum_lead_seed_vc_distance,avg_seed_investor_pairwise_distance,min_seed_investor_pairwise_distance,max_seed_investor_pairwise_distance,local_portfolio,local_coinv,local_network_score,high_local_net_median,high_local_net_top20,high_portfolio_top20,high_coinv_top20,in_peer_top10_20km,in_coinv_peer_top20_30km,in_portfolio_peer_top20_30km,gdp_growth_founding_year,investment_volume_first_seed_year,exit_binary,funding_success,post_seed_funding,exit_funding_success,exit_round_success,success,exit_date,years_to_exit,peer_coinv_top20_threshold,peer_portfolio_top20_threshold
1711,Safetica Technologies,https://www.crunchbase.com/organization/safetica-technologies,Czech Republic,50.0596288,14.4464593,2007,1.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,5,3,3,True,False,True,False,2.0,True,5.076417,False,2012-03-27,2016-02-29,Venture - Series Unknown,2012,5.5,True,True,True,False,2.0,2.8,False,False,False,False,False,False,False,False,False,False,False,False,5,3,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,5,3.0,True,True,False,True,True,False,False,False,False,False,False,True,True,124,0,False,1,0,0.0,0.0,0.0,0.04791774061367713,0.0,0.2875064436820628,0.0,0.09583548122735426,0.2875064436820628,0.0,0.0,0.0,0.09583548122735426,0.0,0.2875064436820628,1.0,0.0,0.0,0,0,0,0,0,0,0,3.16,1.824549292051046,False,False,True,False,True,True,,,2.6000000000000085,6.0
1900,Webnode,https://www.crunchbase.com/organization/webnode,Czech Republic,49.1922443,16.6113382,2008,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,1,1,False,True,True,True,1.0,True,0.0,True,2019-06-01,2019-06-01,Seed,2019,52.0,False,False,True,True,7.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.0,True,True,True,True,True,False,False,False,False,False,False,True,True,13,0,False,0,0,0.0,0.0,0.11079863865773769,0.18334102074028633,0.18334102074028633,0.18334102074028633,0.0,0.0,0.0,0.18334102074028633,0.18334102074028633,0.18334102074028633,0.0,0.0,0.0,2.0,0.0,0.0402231640645322,0,0,0,0,1,1,1,0.64,3.40452517175483,True,False,False,True,True,True,2020-12-09,12.0,0.0,1.6000000000000014
1925,NejRemeslnici.cz,https://www.crunchbase.com/organization/nejremeslnici-cz,Czech Republic,50.0596288,14.4464593,2009,3.0,False,True,False,False,True,True,False,False,False,True,False,False,False,False,5,1,1,False,True,False,False,0.0,False,0.519807,False,2014-07-01,2014-07-01,Seed,2014,13.0,True,,False,,1.0,5.0,False,,False,,False,,False,,False,,False,,1,0,True,,True,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,124,0,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-4.35,2.128231705849268,True,False,False,True,True,True,2018-10-02,9.0,2.6000000000000085,6.0
1923,Snippets,https://www.crunchbase.com/organization/snippets,Czech Republic,48.9747357,14.474285,2009,1.0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,3,1,1,False,True,False,False,0.0,False,0.025,True,2012-01-01,2012-01-01,Seed,2012,211.0,False,,True,,1.0,31.0,False,,True,,False,,False,,False,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,0,,False,,False,False,,True,True,False,False,False,False,False,False,0,0,False,0,0,0.0,0.0,0.12065132910283802,11.458071310720731,11.458071310720731,11.458071310720731,11.458071310720731,11.458071310720731,11.458071310720731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,-4.35,1.824549292051046,False,False,False,False,False,False,,,0.0,0.0
1971,mySchoolNotebook,https://www.crunchbase.com/organization/myschoolnotebook,Czech Republic,50.0596288,14.4464593,2010,2.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1,1,1,False,True,False,False,0.0,False,0.0,True,2011-05-31,2011-05-31,Undisclosed,2011,2.0,False,,True,,0.0,0.0,False,,False,,False,,False,,False,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,0,,False,,False,False,,False,False,False,False,True,True,True,True,124,0,False,4,2,0.5,0.4054651081081644,0.0,0.5413682784344356,0.5413682784344356,0.5413682784344356,0.5413682784344356,0.5413682784344356,0.5413682784344356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.23,1.5040773967762742,False,False,False,False,False,False,,,2.6000000000000085,6.0
1927,Ušetřeno.cz s.r.o.,https://www.crunchbase.com/organization/adfinance,Czech Republic,50.0596288,14.4464593,2010,2.0,False,True,False,False,False,False,False,False,True,False,True,False,False,False,1,1,1,False,True,False,False,0.0,False,0.0,True,2011-04-20,2011-04-20,Seed,2011,1.0,True,,False,,0.0,1.0,False,,False,,False,,False,,False,,False,,0,0,False,,False,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,124,0,False,4,1,0.25,0.2231435513142097,0.0,0.019355109166312046,0.019355109166312046,0.019355109166312046,0.019355109166312046,0.019355109166312046,0.019355109166312046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.23,1.5040773967762742,True,False,False,True,True,True,2018-04-04,8.0,2.6000000000000085,6.0
1907,Samba.ai,https://www.crunchbase.com/organization/samba-ai,Czech Republic,50.0596288,14.4464593,2011,1.0,True,True,False,False,True,True,False,False,False,True,True,False,False,False,4,1,2,False,False,False,False,2.0,True,0.0,True,2015-09-30,2015-09-30,Seed,2015,31.0,True,True,False,False,1.0,5.0,False,False,True,True,False,False,False,False,False,False,False,False,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2,2.0,True,True,True,True,True,False,False,False,False,False,False,True,True,124,0,False,9,2,0.2222222222222222,0.2006706954621511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.1880081363765889,1,0,0,0,0,0,1,1.9,1.7749523509116738,False,False,False,False,False,False,,,2.6000000000000085,6.0
1941,BIG Launcher,https://www.crunchbase.com/organization/big-launcher,Czech Republic,50.0385812,15.7791356,2011,2.0,False,False,False,False,False,True,False,False,True,True,False,False,False,False,2,1,1,False,True,False,False,0.0,False,0.053158,True,2013-11-01,2013-11-01,Seed,2013,685.0,False,,True,,2.0,53.0,False,,True,,False,,False,,False,,True,,0,0,False,,False,False,,False,,False,,False,,False,,False,,0,,False,,False,True,,False,False,False,False,False,False,True,True,2,0,False,0,0,0.0,0.0,0.09518285627745059,1.853106654037776,1.853106654037776,1.853106654037776,1.853106654037776,1.853106654037776,1.853106654037776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,1.9,1.7047480922384253,False,False,False,False,False,False,,,0.0,0.4000000000000003
1963,Tapomat,https://www.crunchbase.com/organization/proactify-com,Czech Republic,50.0596288,14.4464593,2011,2.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,0,3,3,True,False,True,False,2.0,True,0.351051,True,2011-09-01,2012-09-01,Seed,2011,43.8,True,True,False,False,0.3,5.2,False,False,False,False,True,True,False,False,False,False,False,False,5,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5,2.0,True,True,True,True,True,False,False,False,False,False,False,True,True,124,0,False,9,2,0.2222222222222222,0.2006706954621511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1.9,1.5040773967762742,False,False,False,False,False,False,,,2.6000000000000085,6.0
1898,StartupJobs,https://www.crunchbase.com/organization/startupjobs,Czech Republic,50.0596288,14.4464593,2012,1.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,1,1,1,False,True,True,False,0.0,False,0.0,True,2013-04-01,2013-04-01,Pre-Seed,2013,33.0,True,,False,,13.0,4.0,False,,False,,False,,False,,False,,False,,1,0,True,,True,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,124,0,False,16,4,0.25,0.2231435513142097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.1676849278940113,0,0,0,0,0,1,0,-0.7,1.7047480922384253,False,False,False,False,False,False,,,2.6000000000000085,6.0
