company_id,organization_name,organization_name_url,headquarters_country,latitude,longitude,founded_year,number_of_founders,b2b_binary,hub_binary,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,age,number_seed_rounds,number_seed_investors,number_lead_seed_investors,total_seed_funding_m,earliest_seed_round_date,latest_seed_round_date,last_equity_funding_type,year_first_round,average_seed_investors_portfolio_organizations,regional_seed_investor_binary,regional_lead_seed_investor_binary,overregional_seed_investor_binary,overregional_lead_seed_investor_binary,avg_age_of_seed_investors,avg_exits_of_seed_investors,specific_vc_in_seed_binary,specific_lead_vc_in_seed_binary,target_vc_in_seed_binary,target_lead_vc_in_seed_binary,accelerator_funding_binary,accelerator_lead_funding_binary,angel_group_funding_binary,angel_group_lead_funding_binary,micro_vc_funding_binary,micro_vc_lead_funding_binary,corporate_vc_funding_binary,corporate_vc_lead_funding_binary,number_seed_investors_same_city,number_seed_lead_investors_same_city,seed_investor_same_city,seed_lead_investor_same_city,seed_investors_all_same_city,seed_investor_same_city_100,seed_lead_investor_same_city_100,seed_investor_same_city_70,seed_lead_investor_same_city_70,seed_investor_same_city_50,seed_lead_investor_same_city_50,seed_investor_same_city_40,seed_lead_investor_same_city_40,seed_investor_same_city_30,seed_lead_investor_same_city_30,seed_investor_same_city_20,seed_lead_investor_same_city_20,number_homecountry_investors,number_homecountry_lead_investors,homecountry_investor_in_seed_binary,homecountry_lead_investor,all_homecountry_investors_in_seed_binary,hub_vc_in_seed_binary,hub_lead_vc_in_seed_binary,global_investor,all_global_investor,us_investor,all_us_investor,dach_investor,all_dach_investor,european_investor,all_european_investor,vcs_within_50km,top_university_count,top_university_ecosystem_binary,founded_startups_in_environment,successful_startups_in_environment,share_successful_startups_in_environment,log_share_successful_startups_in_environment,distance_to_hub,avg_seed_investor_distance,minimum_seed_vc_distance,max_seed_investor_distance,minimum_seed_vc_distance_non_lead,avg_seed_vc_distance_non_lead,maximum_seed_vc_distance_non_lead,minimum_lead_seed_vc_distance,avg_lead_seed_vc_distance,maximum_lead_seed_vc_distance,avg_seed_investor_pairwise_distance,min_seed_investor_pairwise_distance,max_seed_investor_pairwise_distance,local_portfolio,local_coinv,local_network_score,high_local_net_median,high_local_net_top20,high_portfolio_top20,high_coinv_top20,in_peer_top10_20km,in_coinv_peer_top20_30km,in_portfolio_peer_top20_30km,gdp_growth_founding_year,investment_volume_first_seed_year,exit_binary,funding_success,post_seed_funding,exit_funding_success,exit_round_success,success,exit_date,years_to_exit,peer_coinv_top20_threshold,peer_portfolio_top20_threshold
7075,Spacewell Energy (Dexma),https://www.crunchbase.com/organization/dexma,Spain,41.3825802,2.177073,2007,3.0,True,True,True,False,False,False,False,False,False,True,False,True,False,False,4,2,4,2.0,1.371296,2011-10-25,2014-06-01,Venture - Series Unknown,2011,15.4,True,True,True,True,14.0,2.4,False,False,True,True,False,False,False,False,True,True,False,False,2,1,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,3,2.0,True,True,True,True,True,False,False,False,False,False,False,True,True,256,2,True,5,1,0.2,0.1823215567939546,0.0,0.1681219145691856,0.0,0.5043657437075568,0.0,0.0,0.0,0.0,0.2521828718537784,0.5043657437075568,0.3362438291383712,0.0,0.5043657437075568,0.0,0.0,0.0,0,0,0,0,0,0,0,3.16,5.743644008081332,True,False,True,True,True,True,2020-12-10,13.0,11.0,15.600000000000025
5215,Energy Floors,https://www.crunchbase.com/organization/energy-floors,The Netherlands,51.9244424,4.47775,2007,1.0,True,False,True,False,False,False,False,False,False,True,False,True,True,False,13,1,1,0.0,0.06147,2020-06-21,2020-06-21,Seed,2020,153.0,True,,False,,10.0,7.0,True,,False,,True,,False,,False,,False,,0,0,False,,False,True,,False,,False,,False,,False,,False,,1,,True,,True,False,,False,False,False,False,False,False,True,True,118,2,True,0,0,0.0,0.0,0.05735189574909011,0.08758965559566403,0.08758965559566403,0.08758965559566403,0.08758965559566403,0.08758965559566403,0.08758965559566403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0637308819147395,0,0,0,0,0,1,0,3.16,6.55250788703459,False,False,False,False,False,False,,,1.0,5.0
12031,Imperative Energy,https://www.crunchbase.com/organization/imperative-energy,Ireland,53.3830239,-6.5922806,2007,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,5,1,1,0.0,0.0,2012-02-21,2012-02-21,Seed,2012,83.0,False,,True,,2.0,11.0,False,,False,,False,,False,,False,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,0,,False,,False,False,,False,False,False,False,False,False,True,True,100,0,False,0,0,0.0,0.0,0.022325311344784906,0.2651042878249673,0.2651042878249673,0.2651042878249673,0.2651042878249673,0.2651042878249673,0.2651042878249673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,3.16,4.415219602029645,False,False,False,False,False,False,,,21.0,60.0
11956,ResourceKraft,https://www.crunchbase.com/organization/resourcekraft,Ireland,52.661252,-8.6301239,2007,2.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,3,1,2,0.0,0.813,2010-04-01,2010-04-01,Seed,2010,369.5,True,,True,,11.5,65.0,False,,True,,False,,False,,False,,False,,0,0,False,,False,True,,False,,False,,False,,False,,False,,2,,True,,True,True,,False,False,False,False,False,False,True,True,2,0,False,0,0,0.0,0.0,0.17603491944612973,0.1308127204572793,0.08548655371453442,0.17613888720002416,0.08548655371453442,0.1308127204572793,0.17613888720002416,0.0,0.0,0.0,0.21962513333732103,0.21962513333732103,0.21962513333732103,0.0,0.0,0.0,0,0,0,0,1,0,0,3.16,3.955082494888593,False,False,False,False,False,False,,,2.6000000000000005,3.6000000000000005
21456,Windar Photonics,https://www.crunchbase.com/organization/windar-photonics,Denmark,55.6522136,12.292049,2008,1.0,True,True,True,True,False,False,False,False,False,False,False,True,False,False,3,1,1,0.0,0.0,2011-09-20,2011-09-20,Post-IPO Equity,2011,151.0,True,,False,,7.0,35.0,False,,True,,False,,False,,False,,False,,0,0,False,,False,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,214,2,True,0,0,0.0,0.0,0.017852195831434464,0.017852195831434443,0.017852195831434443,0.017852195831434443,0.017852195831434443,0.017852195831434443,0.017852195831434443,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.1919094156907527,1,0,0,0,0,0,0,0.64,4.877484781308751,True,False,False,True,True,True,2015-03-30,7.0,17.400000000000006,35.400000000000006
1049,Eliq,https://www.crunchbase.com/organization/eliq,Sweden,57.7072326,11.9670171,2008,5.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1,1,1,0.0,0.0,2009-01-01,2009-01-01,Venture - Series Unknown,2009,543.0,False,,True,,0.0,50.0,False,,True,,False,,False,,False,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,1,,True,,True,True,,False,False,False,False,False,False,True,True,25,2,True,2,0,0.0,0.0,0.22766469926136576,0.39731307421247714,0.39731307421247714,0.39731307421247714,0.39731307421247714,0.39731307421247714,0.39731307421247714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.64,,False,False,True,False,True,True,,,8.0,41.0
5007,Photanol,https://www.crunchbase.com/organization/photanol,The Netherlands,52.3730796,4.8924534,2008,1.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,0,1,1,0.0,0.0,2008-03-01,2008-03-01,Venture - Series Unknown,2008,11.0,True,,False,,16.0,2.0,False,,False,,False,,False,,False,,False,,1,0,True,,True,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,337,1,True,8,1,0.125,0.1177830356563834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.64,5.559141984829935,False,False,True,False,True,True,,,6.0,14.0
17079,QED Naval,https://www.crunchbase.com/organization/qed-naval,United Kingdom,55.9519018,-3.1904199,2008,1.0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,7,4,3,1.0,1.978995,2015-03-10,2019-06-01,Equity Crowdfunding,2015,109.71428571428572,True,True,True,False,13.3,11.9,False,False,True,False,True,False,True,True,False,False,False,False,0,0,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,7,4.0,True,True,True,True,False,False,False,False,False,False,False,True,True,45,1,True,4,2,0.5,0.4054651081081644,0.28153747747239416,0.13370786450876718,0.06681944536470315,0.5350383793731515,0.06681944536470315,0.22289242336751922,0.5350383793731515,0.06681944536470315,0.06681944536470315,0.06681944536470315,0.15887680924667283,0.0,0.5560688323633549,6.0,8.0,0.32629937040735,1,0,0,0,0,0,0,0.64,7.170888478512505,False,False,False,False,False,False,,,9.0,13.0
17026,Cyberhawk,https://www.crunchbase.com/organization/cyberhawk-innovations,United Kingdom,55.8829582,-3.5175773,2008,1.0,True,False,True,True,True,False,False,False,False,True,False,False,False,False,4,2,1,1.0,1.927671,2012-01-01,2013-06-24,Seed,2012,103.0,True,True,False,False,12.5,61.0,False,False,True,True,False,False,False,False,False,False,False,False,0,0,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,2,1.0,True,True,True,False,False,False,False,False,False,False,False,True,True,61,0,False,0,0,0.0,0.0,0.279479209366458,0.0457668390241771,0.0457668390241771,0.0457668390241771,0.0457668390241771,0.0457668390241771,0.0457668390241771,0.0457668390241771,0.0457668390241771,0.0457668390241771,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0.64,6.55250788703459,True,False,False,True,True,True,2019-03-28,11.0,9.0,15.0
7707,Going Green,https://www.crunchbase.com/organization/going-green,Spain,41.3598601,2.0997927,2008,1.0,True,True,True,False,False,False,False,False,False,False,True,True,False,False,1,1,1,1.0,0.954606,2009-09-24,2009-09-24,Venture - Series Unknown,2009,2.0,True,True,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1,1.0,True,True,True,True,True,False,False,False,False,False,False,True,True,256,2,True,12,2,0.1666666666666666,0.1541506798272582,0.006925901098916158,0.006925901098916198,0.006925901098916198,0.006925901098916198,0.0,0.0,0.0,0.006925901098916198,0.006925901098916198,0.006925901098916198,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.64,5.268373490174964,False,False,True,False,True,True,,,11.0,15.800000000000011
