company_id,organization_name,organization_name_url,headquarters_country,latitude,longitude,founded_year,number_of_founders,b2b_binary,hub_binary,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,age,number_seed_rounds,number_seed_investors,follow_on_investor_in_seed_binary,mixed_syndicate,one_seed_investor_binary,pre_seed_binary,single_lead_investor,number_lead_seed_investors,lead_investor_in_seed,total_seed_funding_m,low_seed_financing_binary,earliest_seed_round_date,latest_seed_round_date,last_equity_funding_type,year_first_round,average_seed_investors_portfolio_organizations,regional_seed_investor_binary,regional_lead_seed_investor_binary,overregional_seed_investor_binary,overregional_lead_seed_investor_binary,avg_age_of_seed_investors,avg_exits_of_seed_investors,specific_vc_in_seed_binary,specific_lead_vc_in_seed_binary,target_vc_in_seed_binary,target_lead_vc_in_seed_binary,accelerator_funding_binary,accelerator_lead_funding_binary,angel_group_funding_binary,angel_investor_in_seed_binary,regional_angel_investor_in_seed,angel_group_lead_funding_binary,micro_vc_funding_binary,micro_vc_lead_funding_binary,corporate_vc_funding_binary,corporate_vc_lead_funding_binary,number_seed_investors_same_city,number_seed_lead_investors_same_city,seed_investor_same_city,seed_lead_investor_same_city,seed_investors_all_same_city,seed_investor_same_city_100,seed_lead_investor_same_city_100,seed_investor_same_city_70,seed_lead_investor_same_city_70,seed_investor_same_city_50,seed_lead_investor_same_city_50,seed_investor_same_city_40,seed_lead_investor_same_city_40,seed_investor_same_city_30,seed_lead_investor_same_city_30,seed_investor_same_city_20,seed_lead_investor_same_city_20,seed_investor_same_city_10,seed_lead_investor_same_city_10,seed_investor_same_city_5,seed_lead_investor_same_city_5,number_homecountry_investors,number_homecountry_lead_investors,homecountry_investor_in_seed_binary,homecountry_lead_investor,all_homecountry_investors_in_seed_binary,hub_vc_in_seed_binary,hub_lead_vc_in_seed_binary,global_investor,all_global_investor,us_investor,all_us_investor,dach_investor,all_dach_investor,european_investor,all_european_investor,vcs_within_50km,top_university_count,top_university_ecosystem_binary,founded_startups_in_environment,successful_startups_in_environment,share_successful_startups_in_environment,log_share_successful_startups_in_environment,distance_to_hub,avg_seed_investor_distance,minimum_seed_vc_distance,max_seed_investor_distance,minimum_seed_vc_distance_non_lead,avg_seed_vc_distance_non_lead,maximum_seed_vc_distance_non_lead,minimum_lead_seed_vc_distance,avg_lead_seed_vc_distance,maximum_lead_seed_vc_distance,avg_seed_investor_pairwise_distance,min_seed_investor_pairwise_distance,max_seed_investor_pairwise_distance,local_portfolio,local_coinv,local_network_score,high_local_net_median,high_local_net_top20,high_portfolio_top20,high_coinv_top20,in_peer_top10_20km,in_coinv_peer_top20_30km,in_portfolio_peer_top20_30km,gdp_growth_founding_year,investment_volume_first_seed_year,exit_binary,funding_success,post_seed_funding,exit_funding_success,exit_round_success,success,exit_date,years_to_exit,peer_coinv_top20_threshold,peer_portfolio_top20_threshold
17007,FreeAgent,https://www.crunchbase.com/organization/freeagent-central,United Kingdom,55.9519018,-3.1904199,2007,3.0,True,False,False,False,True,False,False,False,True,True,False,False,False,False,2,1,3,False,False,False,True,False,0.0,False,0.15,True,2009-09-10,2009-09-10,Series C,2009,112.66666666666669,False,,True,,2.3,30.7,False,,True,,False,,True,False,False,,True,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,False,False,False,False,1,,True,,False,True,,True,True,True,False,True,False,True,False,45,1,True,1,1,1.0,0.6931471805599453,0.28153747747239416,2.479469909472296,0.5350383793731515,5.575972110921178,0.5350383793731515,2.479469909472296,5.575972110921178,0.0,0.0,0.0,4.548586843415323,0.918452570524003,6.822842542374868,0.0,0.0,0.0,0,0,0,0,0,0,0,3.16,6.55250788703459,True,False,True,True,True,True,2016-11-16,9.0,9.0,13.0
16972,Simudyne,https://www.crunchbase.com/organization/simudyne,United Kingdom,51.4893335,-0.1440551,2007,1.0,True,True,False,False,False,False,False,False,True,True,False,False,False,False,10,2,6,True,True,False,True,False,1.0,True,3.574002,False,2017-01-27,2018-02-16,Series A,2017,64.6,True,False,True,True,7.8,164.0,False,False,True,True,True,True,False,True,False,False,False,False,False,False,3,0,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,3,0.0,True,False,False,True,False,True,True,True,False,False,False,True,False,1939,5,True,24,9,0.375,0.3184537311185346,0.004639509600861782,4.616967316316051,0.0,8.635723834817247,0.0,4.130934032217256,8.635723834817247,7.533167020908819,7.533167020908819,7.533167020908819,4.904054293495388,0.0,8.635723834817247,142.0,101.0,0.8488043357756372,1,1,1,1,0,1,1,3.16,7.696667081526462,False,False,True,False,True,True,,,45.0,65.0
16905,Seedcamp,https://www.crunchbase.com/organization/seedcamp,United Kingdom,51.4893335,-0.1440551,2007,2.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,4,1,7,False,False,False,False,False,0.0,False,0.0,True,2011-09-08,2011-09-08,Venture - Series Unknown,2011,83.14285714285714,True,,True,,11.7,32.6,False,,False,,False,,False,False,False,,False,,True,,2,0,True,,False,True,,True,,True,,True,,True,,True,,True,False,True,False,2,,True,,False,True,,True,True,True,False,False,False,True,False,1939,5,True,24,9,0.375,0.3184537311185346,0.004639509600861782,1.7540088468792545,0.0,5.569791902778005,0.0,1.7540088468792545,5.569791902778005,0.0,0.0,0.0,2.85304955762466,0.0,5.876678944661746,5.0,0.0,0.1089851172067322,0,0,0,0,0,0,0,3.16,6.68586094706836,False,False,True,False,True,True,,,45.0,65.0
9898,CargoGuard,https://www.crunchbase.com/organization/cargoguard,Germany,48.1371079,11.5753822,2007,1.0,True,True,False,False,True,False,False,False,True,False,False,False,False,False,1,2,2,False,False,False,False,False,0.0,False,0.0,True,2008-12-17,2008-12-17,Venture - Series Unknown,2008,662.0,False,,True,,3.0,125.5,False,,True,,False,,False,False,False,,False,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,False,False,False,False,2,,True,,True,False,,False,False,False,False,True,True,True,True,304,2,True,5,2,0.4,0.3364722366212129,0.0,0.433534186946357,0.433534186946357,0.433534186946357,0.433534186946357,0.433534186946357,0.433534186946357,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0402231640645322,0,0,0,0,0,0,0,3.16,6.922151159265869,False,False,True,False,True,True,,,5.0,14.0
17303,Fintex Capital,https://www.crunchbase.com/organization/fintex-capital,United Kingdom,51.4893335,-0.1440551,2007,2.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,9,1,1,False,False,True,False,False,0.0,False,0.0,True,2016-01-13,2016-01-13,Seed,2016,31.0,True,,False,,3.0,5.0,False,,False,,False,,False,False,False,,False,,False,,1,0,True,,True,True,,True,,True,,True,,True,,True,,True,False,True,False,1,,True,,True,True,,False,False,False,False,False,False,True,True,1939,5,True,24,9,0.375,0.3184537311185346,0.004639509600861782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0908983577180024,0,0,0,0,0,0,0,3.16,6.803505257608338,False,False,False,False,False,False,,,45.0,65.0
17563,Kublax,https://www.crunchbase.com/organization/kublax,United Kingdom,51.4893335,-0.1440551,2007,2.0,False,True,False,False,False,False,False,False,True,True,False,False,False,False,1,1,4,False,False,False,False,False,0.0,False,0.0,True,2008-01-01,2008-01-01,Angel,2008,111.75,True,,True,,2.0,22.0,False,,True,,True,,False,False,False,,True,,False,,2,0,True,,False,True,,True,,True,,True,,True,,True,,True,False,True,False,2,,True,,False,True,,True,True,True,False,False,False,True,False,1939,5,True,24,9,0.375,0.3184537311185346,0.004639509600861782,3.081590123190644,0.0,6.421895075415479,0.0,3.081590123190644,6.421895075415479,0.0,0.0,0.0,4.19627215810706,0.0,6.421895075415479,2.0,0.0,0.0402231640645322,0,0,0,0,0,0,0,3.16,7.244941546337007,False,False,False,False,False,False,,,45.0,65.0
21853,wikifolio,https://www.crunchbase.com/organization/wikifolio,Austria,48.1857192,16.4221587,2008,1.0,True,True,False,False,False,False,False,False,True,True,False,False,False,False,4,2,4,True,True,False,False,False,1.0,True,0.0,True,2012-01-01,2013-02-21,Series B,2012,76.8,True,False,True,True,6.0,13.6,False,False,True,False,True,False,False,False,False,False,False,False,False,False,1,0,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,1,0.0,True,False,False,True,False,True,True,True,False,True,False,True,False,127,2,True,8,3,0.375,0.3184537311185346,0.004458645788406763,4.1540119792979855,0.0,9.626013216013035,0.0,5.005708390731966,9.626013216013035,0.7472263335620655,0.7472263335620655,0.7472263335620655,5.668171511483112,0.0,9.626013216013035,9.0,4.0,0.3076388360899851,1,0,0,0,0,0,1,0.64,3.758871825933971,False,False,True,False,True,True,,,7.0,8.0
21849,Impact Hub,https://www.crunchbase.com/organization/impact-hub-kings-cross,Austria,48.1857192,16.4221587,2008,3.0,True,True,False,False,False,True,False,False,True,False,True,False,False,False,7,1,1,False,False,True,False,True,1.0,True,0.0,True,2015-08-05,2015-08-05,Seed,2015,9.0,False,False,True,True,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,False,False,False,False,False,True,True,False,False,False,False,False,False,127,2,True,8,3,0.375,0.3184537311185346,0.004458645788406763,10.140397013255521,10.140397013255521,10.140397013255521,0.0,0.0,0.0,10.140397013255521,10.140397013255521,10.140397013255521,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.64,4.773223770984341,False,False,False,False,False,False,,,7.0,8.0
17318,Vouchercloud,https://www.crunchbase.com/organization/vouchercloud,United Kingdom,51.450363,-2.600511,2008,1.0,False,False,False,False,False,True,False,False,True,True,True,False,False,False,3,1,1,False,False,True,False,False,0.0,False,0.0,True,2011-05-01,2011-05-01,Seed,2011,20.0,False,,True,,11.0,13.0,True,,False,,True,,False,False,False,,False,,True,,0,0,False,,False,False,,False,,False,,False,,False,,False,,False,False,False,False,0,,False,,False,False,,True,True,True,True,False,False,False,False,36,1,True,2,1,0.5,0.4054651081081644,0.09861106188293778,8.519485796644798,8.519485796644798,8.519485796644798,8.519485796644798,8.519485796644798,8.519485796644798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.64,6.68586094706836,True,False,False,True,True,True,2018-05-01,10.0,2.4000000000000057,7.0
2430,Streamdata.io,https://www.crunchbase.com/organization/streamdata-io,France,45.2097372,5.778361,2008,1.0,True,False,False,False,True,False,False,False,True,True,False,False,False,True,2,1,1,False,False,True,False,False,0.0,False,1.35,False,2010-06-01,2010-06-01,Series B,2010,53.0,False,,True,,20.0,11.0,False,,False,,False,,False,False,False,,True,,False,,0,0,False,,False,False,,False,,False,,False,,False,,False,,False,False,False,False,1,,True,,True,False,,False,False,False,False,False,False,True,True,15,0,False,1,0,0.0,0.0,0.1601914610062646,0.10490466064278373,0.10490466064278373,0.10490466064278373,0.10490466064278373,0.10490466064278373,0.10490466064278373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.64,5.993961427306569,True,False,True,True,True,True,2019-03-21,11.0,1.0,2.4000000000000004
