company_id,organization_name,organization_name_url,headquarters_country,latitude,longitude,founded_year,number_of_founders,b2b_binary,hub_binary,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,age,number_seed_rounds,number_seed_investors,mixed_syndicate,one_seed_investor_binary,pre_seed_binary,single_lead_investor,number_lead_seed_investors,lead_investor_in_seed,total_seed_funding_m,low_seed_financing_binary,earliest_seed_round_date,latest_seed_round_date,last_equity_funding_type,year_first_round,average_seed_investors_portfolio_organizations,regional_seed_investor_binary,regional_lead_seed_investor_binary,overregional_seed_investor_binary,overregional_lead_seed_investor_binary,avg_age_of_seed_investors,avg_exits_of_seed_investors,specific_vc_in_seed_binary,specific_lead_vc_in_seed_binary,target_vc_in_seed_binary,target_lead_vc_in_seed_binary,accelerator_funding_binary,accelerator_lead_funding_binary,angel_group_funding_binary,angel_group_lead_funding_binary,micro_vc_funding_binary,micro_vc_lead_funding_binary,corporate_vc_funding_binary,corporate_vc_lead_funding_binary,number_seed_investors_same_city,number_seed_lead_investors_same_city,seed_investor_same_city,seed_lead_investor_same_city,seed_investors_all_same_city,seed_investor_same_city_100,seed_lead_investor_same_city_100,seed_investor_same_city_70,seed_lead_investor_same_city_70,seed_investor_same_city_50,seed_lead_investor_same_city_50,seed_investor_same_city_40,seed_lead_investor_same_city_40,seed_investor_same_city_30,seed_lead_investor_same_city_30,seed_investor_same_city_20,seed_lead_investor_same_city_20,number_homecountry_investors,number_homecountry_lead_investors,homecountry_investor_in_seed_binary,homecountry_lead_investor,all_homecountry_investors_in_seed_binary,hub_vc_in_seed_binary,hub_lead_vc_in_seed_binary,global_investor,all_global_investor,us_investor,all_us_investor,dach_investor,all_dach_investor,european_investor,all_european_investor,vcs_within_50km,top_university_count,top_university_ecosystem_binary,founded_startups_in_environment,successful_startups_in_environment,share_successful_startups_in_environment,log_share_successful_startups_in_environment,distance_to_hub,avg_seed_investor_distance,minimum_seed_vc_distance,max_seed_investor_distance,minimum_seed_vc_distance_non_lead,avg_seed_vc_distance_non_lead,maximum_seed_vc_distance_non_lead,minimum_lead_seed_vc_distance,avg_lead_seed_vc_distance,maximum_lead_seed_vc_distance,avg_seed_investor_pairwise_distance,min_seed_investor_pairwise_distance,max_seed_investor_pairwise_distance,local_portfolio,local_coinv,local_network_score,high_local_net_median,high_local_net_top20,high_portfolio_top20,high_coinv_top20,in_peer_top10_20km,in_coinv_peer_top20_30km,in_portfolio_peer_top20_30km,gdp_growth_founding_year,investment_volume_first_seed_year,exit_binary,funding_success,post_seed_funding,exit_funding_success,exit_round_success,success,exit_date,years_to_exit,peer_coinv_top20_threshold,peer_portfolio_top20_threshold
7075,Spacewell Energy (Dexma),https://www.crunchbase.com/organization/dexma,Spain,41.3825802,2.177073,2007,3.0,True,True,True,False,False,False,False,False,False,True,False,True,False,False,4,2,4,True,False,False,False,2.0,True,1.371296,False,2011-10-25,2014-06-01,Venture - Series Unknown,2011,15.4,True,True,True,True,14.0,2.4,False,False,True,True,False,False,False,False,True,True,False,False,2,1,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,3,2.0,True,True,True,True,True,False,False,False,False,False,False,True,True,256,2,True,5,1,0.2,0.1823215567939546,0.0,0.1681219145691856,0.0,0.5043657437075568,0.0,0.0,0.0,0.0,0.2521828718537784,0.5043657437075568,0.3362438291383712,0.0,0.5043657437075568,0.0,0.0,0.0,0,0,0,0,0,0,0,3.16,5.743644008081332,True,False,True,True,True,True,2020-12-10,13.0,11.0,15.600000000000025
17714,PVC Recycling,https://www.crunchbase.com/organization/pvc-recycling,United Kingdom,53.4840214,-2.0562536,2007,2.0,True,True,False,False,True,False,False,False,False,False,False,True,False,True,6,1,2,False,False,False,False,0.0,False,0.807199,False,2013-10-03,2013-10-03,Seed,2013,43.0,True,,False,,5.0,5.5,True,,False,,False,,False,,False,,False,,0,0,False,,False,True,,True,,True,,True,,False,,False,,2,,True,,True,False,,False,False,False,False,False,False,True,True,79,1,True,0,0,0.0,0.0,0.012507049324289652,0.03714431064396719,0.03714431064396719,0.03714431064396719,0.03714431064396719,0.03714431064396719,0.03714431064396719,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.3689397160931508,1,0,0,0,1,1,1,3.16,6.55250788703459,False,False,False,False,False,False,,,3.0,7.0
16947,Promethean Particles,https://www.crunchbase.com/organization/promethean-particles,United Kingdom,52.9473037,-1.1449555,2007,1.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,12,1,1,False,True,False,True,1.0,True,0.964869,False,2019-11-14,2019-11-14,Series A,2019,184.0,False,False,True,True,35.0,38.0,False,False,True,True,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1.0,True,True,True,True,True,False,False,False,False,False,False,True,True,80,1,True,0,0,0.0,0.0,0.09417039907723379,0.17586985440455855,0.17586985440455855,0.17586985440455855,0.0,0.0,0.0,0.17586985440455855,0.17586985440455855,0.17586985440455855,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,3.16,8.006700845440367,False,False,True,False,True,True,,,1.0,3.0
5215,Energy Floors,https://www.crunchbase.com/organization/energy-floors,The Netherlands,51.9244424,4.47775,2007,1.0,True,False,True,False,False,False,False,False,False,True,False,True,True,False,13,1,1,False,True,False,False,0.0,False,0.06147,True,2020-06-21,2020-06-21,Seed,2020,153.0,True,,False,,10.0,7.0,True,,False,,True,,False,,False,,False,,0,0,False,,False,True,,False,,False,,False,,False,,False,,1,,True,,True,False,,False,False,False,False,False,False,True,True,118,2,True,0,0,0.0,0.0,0.05735189574909011,0.08758965559566403,0.08758965559566403,0.08758965559566403,0.08758965559566403,0.08758965559566403,0.08758965559566403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0637308819147395,0,0,0,0,0,1,0,3.16,6.55250788703459,False,False,False,False,False,False,,,1.0,5.0
9535,Quentic,https://www.crunchbase.com/organization/ecointense,Germany,52.510885,13.3989367,2007,1.0,True,True,False,False,False,True,False,False,False,True,False,True,False,False,1,2,4,False,False,False,False,0.0,False,1.818,False,2008-02-01,2008-02-01,Private Equity,2008,232.33333333333337,True,,True,,4.3,44.2,False,,True,,False,,True,,True,,False,,2,0,True,,False,True,,True,,True,,True,,True,,True,,4,,True,,False,True,,False,False,False,False,True,True,True,True,539,3,True,8,4,0.5,0.4054651081081644,0.0,0.38877692661818875,0.0,0.6891373106448715,0.0,0.38877692661818875,0.6891373106448715,0.0,0.0,0.0,0.40569905973452175,0.0,0.6891373106448715,2.0,0.0,0.0402231640645322,0,0,0,0,0,0,0,3.16,6.922151159265869,True,True,True,True,True,True,2022-05-12,15.0,18.800000000000068,29.0
11956,ResourceKraft,https://www.crunchbase.com/organization/resourcekraft,Ireland,52.661252,-8.6301239,2007,2.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,3,1,2,False,False,False,False,0.0,False,0.813,False,2010-04-01,2010-04-01,Seed,2010,369.5,True,,True,,11.5,65.0,False,,True,,False,,False,,False,,False,,0,0,False,,False,True,,False,,False,,False,,False,,False,,2,,True,,True,True,,False,False,False,False,False,False,True,True,2,0,False,0,0,0.0,0.0,0.17603491944612973,0.1308127204572793,0.08548655371453442,0.17613888720002416,0.08548655371453442,0.1308127204572793,0.17613888720002416,0.0,0.0,0.0,0.21962513333732103,0.21962513333732103,0.21962513333732103,0.0,0.0,0.0,0,0,0,0,1,0,0,3.16,3.955082494888593,False,False,False,False,False,False,,,2.6000000000000005,3.6000000000000005
751,Worldfavor,https://www.crunchbase.com/organization/worldfavor,Sweden,59.3251172,18.0710935,2008,4.0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,9,2,3,False,False,False,False,3.0,True,3.946701,False,2017-06-07,2019-12-17,Series A,2017,39.666666666666664,True,True,True,True,3.3,4.3,False,False,True,True,False,False,False,False,False,False,False,False,2,2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,3,3.0,True,True,True,True,True,False,False,False,False,False,False,True,True,334,2,True,10,6,0.6,0.4700036292457355,0.0,0.15574481591713343,0.0,0.4661347318624995,0.0,0.0,0.0,0.0,0.15574481591713343,0.4661347318624995,0.31075708697495535,0.0010997158889007883,0.4661347318624995,8.0,7.0,0.3404009270154831,1,0,0,0,0,0,0,0.64,,False,False,True,False,True,True,,,12.0,18.200000000000017
21456,Windar Photonics,https://www.crunchbase.com/organization/windar-photonics,Denmark,55.6522136,12.292049,2008,1.0,True,True,True,True,False,False,False,False,False,False,False,True,False,False,3,1,1,False,True,False,False,0.0,False,0.0,True,2011-09-20,2011-09-20,Post-IPO Equity,2011,151.0,True,,False,,7.0,35.0,False,,True,,False,,False,,False,,False,,0,0,False,,False,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,214,2,True,0,0,0.0,0.0,0.017852195831434464,0.017852195831434443,0.017852195831434443,0.017852195831434443,0.017852195831434443,0.017852195831434443,0.017852195831434443,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.1919094156907527,1,0,0,0,0,0,0,0.64,4.877484781308751,True,False,False,True,True,True,2015-03-30,7.0,17.400000000000006,35.400000000000006
5007,Photanol,https://www.crunchbase.com/organization/photanol,The Netherlands,52.3730796,4.8924534,2008,1.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,0,1,1,False,True,True,False,0.0,False,0.0,True,2008-03-01,2008-03-01,Venture - Series Unknown,2008,11.0,True,,False,,16.0,2.0,False,,False,,False,,False,,False,,False,,1,0,True,,True,True,,True,,True,,True,,True,,True,,1,,True,,True,True,,False,False,False,False,False,False,True,True,337,1,True,8,1,0.125,0.1177830356563834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.64,5.559141984829935,False,False,True,False,True,True,,,6.0,14.0
17079,QED Naval,https://www.crunchbase.com/organization/qed-naval,United Kingdom,55.9519018,-3.1904199,2008,1.0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,7,4,3,True,False,False,False,1.0,True,1.978995,False,2015-03-10,2019-06-01,Equity Crowdfunding,2015,109.71428571428572,True,True,True,False,13.3,11.9,False,False,True,False,True,False,True,True,False,False,False,False,0,0,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,7,4.0,True,True,True,True,False,False,False,False,False,False,False,True,True,45,1,True,4,2,0.5,0.4054651081081644,0.28153747747239416,0.13370786450876718,0.06681944536470315,0.5350383793731515,0.06681944536470315,0.22289242336751922,0.5350383793731515,0.06681944536470315,0.06681944536470315,0.06681944536470315,0.15887680924667283,0.0,0.5560688323633549,6.0,8.0,0.32629937040735,1,0,0,0,0,0,0,0.64,7.170888478512505,False,False,False,False,False,False,,,9.0,13.0
