Round ID,Company ID,Organization Name,Organization Name URL,Organization Founded Year,Investor ID,Investor Name,Investor URL,Investor Founded Date,Investor Longitude,Investor Latitude,Company Longitude,Company Latitude,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits,Lead,Specific VC Binary,Accelerator,Angel Group,Micro VC,Corporate Venture Capital,Target VC,Distance km,Local Investor,Announced Date,Investment Year,Investor Founded Year,Investor Age at Investment,num_investors,Syndication Role,Seed Investor Same City,Seed Lead Investor Same City,Country,Headquarters Country,Homecountry Investor,Homecountry Lead Investor,Seed Investor Within 50km,Seed Lead Investor Within 50km,Investor Distance to Hub,Hub_VC_Flag,Hub_Lead_VC_Flag
000001,000039,Foodsi,https://www.crunchbase.com/organization/foodsi,2019,000178,SATUS Starter,https://www.crunchbase.com/organization/satus-starter,2017-12-01,19.9368564,50.0619474,21.0067249,52.2319581,16,14.0,8,1.0,False,False,False,False,False,False,False,252.56392777356123,False,2024-10-29,2024,2017.0,7.0,3,Co-Investor,False,False,Poland,,False,False,False,False,252.56392777356123,False,False
000001,000039,Foodsi,https://www.crunchbase.com/organization/foodsi,2019,000148,AIP Seed,https://www.crunchbase.com/organization/aip-seed,2009-01-01,21.0067249,52.2319581,21.0067249,52.2319581,27,24.0,21,1.0,False,False,False,False,False,False,False,0.0,True,2024-10-29,2024,2009.0,15.0,3,Co-Investor,True,False,Poland,,False,False,True,False,0.0,True,False
000002,000126,INKsearch.co,https://www.crunchbase.com/organization/inksearch-co-booking-platform-for-tattoo-lovers,2019,000248,EKIPA Investments,https://www.crunchbase.com/organization/ekipa-investments,2019-01-01,19.9368564,50.0619474,17.0326689,51.1089776,5,4.0,3,0.0,False,False,False,False,False,False,False,235.7610105830191,False,2024-01-01,2024,2019.0,5.0,2,Co-Investor,False,False,Poland,Poland,True,False,False,False,252.56392777356123,False,False
000002,000126,INKsearch.co,https://www.crunchbase.com/organization/inksearch-co-booking-platform-for-tattoo-lovers,2019,000011,Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,2012-01-01,24.7453688,59.4372155,17.0326689,51.1089776,623,447.0,146,13.0,False,False,True,False,False,False,True,1045.4548132866828,False,2024-01-01,2024,2012.0,12.0,2,Co-Investor,False,False,Estonia,Poland,False,False,False,False,0.0,True,False
000004,000024,Saleor Commerce,https://www.crunchbase.com/organization/saleor-commerce,2019,000053,TQ Ventures,https://www.crunchbase.com/organization/tq-ventures,2018-01-01,-74.0060152,40.7127281,17.0326689,51.1089776,130,95.0,21,11.0,False,False,False,False,False,False,True,6678.612013084628,False,2024-02-05,2024,2018.0,6.0,3,Co-Investor,False,False,United States,,False,False,False,False,5114.884828999828,False,False
000004,000024,Saleor Commerce,https://www.crunchbase.com/organization/saleor-commerce,2019,000032,Cherry Ventures,https://www.crunchbase.com/organization/cherry-ventures,2013-01-01,13.3989367,52.510885,17.0326689,51.1089776,228,135.0,80,18.0,False,False,False,False,False,False,True,294.40833832273813,False,2024-02-05,2024,2013.0,11.0,3,Co-Investor,False,False,Germany,,False,False,False,False,0.0,True,False
000004,000024,Saleor Commerce,https://www.crunchbase.com/organization/saleor-commerce,2019,000035,Target Global,https://www.crunchbase.com/organization/target-ventures,2015-01-01,-0.1440551,51.4893335,17.0326689,51.1089776,222,138.0,93,24.0,True,False,False,False,False,False,True,1192.2198188453212,False,2024-02-05,2024,2015.0,9.0,3,Lead,False,False,United Kingdom,,False,False,False,False,4.639509600861927,True,True
000005,000008,Aleet,https://www.crunchbase.com/organization/aleet,2018,000164,CofounderZone,https://www.crunchbase.com/organization/cofounderzone,2019-01-01,21.0067249,52.2319581,22.5701022,51.250559,20,17.0,18,0.0,True,False,False,True,False,False,False,153.27663906853053,False,2024-02-13,2024,2019.0,5.0,2,Lead,False,False,Poland,,False,False,False,False,0.0,True,True
000005,000008,Aleet,https://www.crunchbase.com/organization/aleet,2018,000177,FundingBox Deep Tech Fund,https://www.crunchbase.com/organization/fundingbox-deep-tech-fund,2020-10-01,21.0067249,52.2319581,22.5701022,51.250559,16,16.0,4,1.0,False,False,False,False,False,False,False,153.27663906853053,False,2024-02-13,2024,2020.0,4.0,2,Co-Investor,False,False,Poland,,False,False,False,False,0.0,True,False
000006,000036,LiveKid,https://www.crunchbase.com/organization/livekid,2017,000100,Inovo.vc,https://www.crunchbase.com/organization/inovo-vc,2012-01-01,21.0067249,52.2319581,19.9368564,50.0619474,62,48.0,32,4.0,True,False,False,False,False,False,True,252.56392777356123,False,2023-11-08,2023,2012.0,11.0,1,Lead,False,False,Poland,,False,False,False,False,0.0,True,True
000007,000054,MIM Fertility,https://www.crunchbase.com/organization/mim-fertility,2019,000271,Tangent Line Ventures,https://www.crunchbase.com/organization/tangent-line-ventures,2022-01-01,21.0067249,52.2319581,21.0067249,52.2319581,2,2.0,0,0.0,False,True,False,False,False,False,False,0.0,True,2023-12-04,2023,2022.0,1.0,2,Co-Investor,True,False,Poland,,False,False,True,False,0.0,True,False
